City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,new norfolk,-42.7826,147.0587,66.70400000000005,52,65,2.67,AU,1698041621
320,kegalle,7.2532,80.3454,82.77800000000006,70,98,1.14,LK,1698041621
321,aland,17.5667,76.5667,87.51200000000006,30,83,3.86,IN,1698041621
322,pavlodol'skaya,43.7192,44.4781,57.36200000000006,71,8,2.13,RU,1698041621
323,hassi messaoud,31.6804,6.0729,66.05600000000003,34,0,0.0,DZ,1698041622
324,yuli,9.6989,10.2744,76.04600000000005,30,99,1.1,NG,1698041622
325,ilebo,-4.3167,20.5833,73.45400000000005,92,100,0.33,CD,1698041622
326,howrah,22.5892,88.3103,87.8,70,75,3.09,IN,1698041622
327,bel ombre,-4.6167,55.4167,82.23800000000004,78,20,1.54,SC,1698041623
328,ar ruways,24.1103,52.7306,89.13200000000002,51,0,1.78,AE,1698041623
329,lerwick,60.1545,-1.1494,50.0,78,9,3.17,GB,1698041623
